id;title;description;price;image_url
1;Generic Steel Tuna;website calculating;57374;monetize Principal navigate
2;wireless Computer;Legacy Dynamic magenta;46955;withdrawal Refined Metal Car Division
3;Steel;Kina networks;40879;Michigan Incredible Infrastructure
4;Internal compressing;withdrawal Bedfordshire;4189;Malagasy Ariary Gloves
5;Drive neutral;Rustic Concrete Car;78661;Rubber
6;Identity orange Security;Data Identity;58781;indigo Sports Human
7;Personal Loan Account yellow;Cape Verde;40746;Ethiopia
8;withdrawal Rubber;Chips Bike Keyboard;47207;Center Intelligent tangible
9;Checking Account methodical optical;Cheese rich multi-byte;80408;Forward project
10;hacking;efficient;4074;mobile Practical
